1,1,1
0.956,0.922,0.904
1.04,0.926,1.044
0.998,0.939,0.859
1.002,1.019,0.972
1.001,0.975,1.019
0.96,0.857,0.896
0.898,1.004,0.992
1.059,1.085,1.25
0.966,1.069,1.298
0.995,1.016,1.429
1.154,1.13,1.252
1.073,1.086,1.42
1.128,1.112,1.391
1.081,1.004,1.119
1.02,1.203,1.504
1.13,1.022,1.293
1.016,1.044,1.318
1.205,1.06,1.108
1.01,1.027,1.365
1.165,0.864,1.056
1.097,1.018,1.071
1.041,1.191,1.002
1.095,1.158,0.964
0.851,1.085,1.071
0.974,0.921,1.177
0.81,0.959,1.072
0.794,0.951,0.966
0.886,1.2,1.226
0.95,0.903,0.94
0.836,1.109,1.074
0.813,1.139,1.164
1.046,1.044,0.941
0.92,0.886,1.065
1.036,1.123,0.98
0.948,1.056,1.015
1.002,0.947,1.077
1.103,1.021,1.166
0.981,0.953,1.102
0.923,1.104,1.068
1.132,0.946,1.029
0.987,1.021,1.016
0.887,1.147,1.097
0.977,1.018,0.997
1.012,1.055,1.011
1.038,1.187,1.069
0.882,0.984,0.973
1.061,0.945,1.073
0.92,0.982,1.191
0.992,0.907,1.08
0.973,0.997,1.018
1.023,0.991,0.965
0.925,0.905,1.128
1.043,0.902,1.042
0.865,0.916,0.94
0.971,1.022,1.12
1.141,0.962,0.902
0.917,0.979,0.956
0.913,1.22,0.987
1.064,0.928,1.014
0.944,1.01,0.953
1.047,1.063,1.191
1.022,0.97,1.03
0.92,0.95,1.112
0.939,1.027,1.101
0.907,1.035,1.185
1.059,0.991,0.98
0.882,1.012,1.076
1.106,1.056,1.003
0.864,1.059,0.948
0.888,1.013,0.962
1.096,0.949,0.987
0.909,0.956,1.171
1.039,1.012,0.97
1.064,0.938,1.033
0.97,0.902,0.902
1.025,0.963,1.055
0.893,1.075,1.089
0.781,0.931,0.974
0.993,0.964,1.029
1.012,1.016,1.067
0.934,0.957,0.895
0.923,0.957,0.858
1.083,0.939,0.903
0.76,1.121,1.116
0.892,0.957,1.029
0.889,0.98,1.014
0.893,1.061,1.011
1.011,0.866,0.905
0.959,0.989,1.034
0.885,0.94,0.877
0.925,1.003,1.071
0.924,0.995,1.143
0.801,1.008,0.947
0.935,0.925,0.941
0.964,1.105,0.896
1.065,0.874,1.103
0.947,0.994,1.119
1.066,0.918,1.05
1.004,0.962,1.079
1.105,0.959,0.981
0.797,0.86,0.977
1.08,1.105,1.007
0.896,0.954,0.881
0.897,1.022,1.077
1.026,0.82,0.998
1.106,0.971,1.008
0.97,0.923,0.91
0.886,0.906,1.108
0.906,1.043,0.917
0.818,0.919,1.065
0.874,1.006,1.196
0.85,0.972,1.067
1.015,0.914,1.157
0.904,1.018,1.066
0.867,0.926,1.107
0.982,1.026,0.909
1.036,1.036,1.03
1.038,1,0.886
0.786,0.937,0.955
0.961,0.97,1.034
0.857,1.031,0.96
0.867,0.93,0.949
0.959,1.033,0.887
1.053,0.973,1.201
1.146,1.185,1.333
0.943,1.104,1.475
1.001,1.026,1.429
1.204,1.138,1.457
1.126,1.083,1.406
1.218,1.148,1.33
1.254,0.945,1.461
1.249,1.134,1.392
1.061,0.995,1.234
1.152,1.132,1.089
0.987,0.959,1.139
1.045,0.923,1.113
1.027,1.047,1.183
0.922,0.886,1.154
1.087,1.068,1.182
1.092,1.034,0.994
0.988,1.087,1.062
0.995,1.006,1.113
1.079,0.844,1.017
1.031,1.03,1.22
0.957,0.938,1.001
0.868,0.956,0.979
1.108,0.931,1.081
0.829,0.962,0.916
0.944,0.85,1.024
0.931,0.917,0.984
1.009,0.865,0.896
0.849,1.022,0.972
0.843,1.034,1.041
1.018,1.053,1.03
0.994,0.928,1
0.833,0.924,0.982
1.148,0.934,0.986
0.944,0.948,0.985
0.983,0.89,1.057
0.904,0.964,0.873
1.173,1.045,1.074
1.066,1.027,1.18
0.969,0.935,1.107
0.875,0.903,0.982
0.864,0.965,1.119
0.808,1.028,0.852
0.996,1.022,0.938
0.766,1.039,1.093
0.916,1.063,1.019
1.11,1.022,1.041
0.792,0.986,0.966
1.023,0.897,0.993
0.983,0.909,1.11
1.055,0.832,1.106
1.024,0.887,1.078
0.965,0.844,0.996
1.013,0.801,0.862
0.95,1.029,0.949
0.913,0.916,1.139
0.993,0.983,0.922
0.871,0.946,0.965
0.972,0.933,0.925
1.025,0.872,1.094
1.04,0.863,0.866
1.013,1.148,1.131
1.031,0.981,0.969
0.806,0.915,1.066
0.947,0.955,0.981
0.861,0.964,0.998
0.909,1.02,1.11
1.036,0.856,0.899
0.935,0.9,1.057
0.853,0.939,0.975
1.026,0.961,1.059
0.972,0.86,0.936
0.975,0.972,1.065
0.983,0.986,0.949
0.878,1.037,1.024
0.928,0.807,1.087
0.867,0.939,1.141
0.811,0.944,1.034
0.974,0.964,1.003
1.2,1.032,0.947
0.999,0.969,1.149
0.936,1.014,1.003
1.034,1.023,1.065
0.954,0.921,0.978
0.844,1.015,0.933
0.949,0.97,1.006
0.752,0.871,1.158
0.96,0.785,0.959
1.083,0.907,1.056
0.97,1.123,1.133
0.922,0.94,1.378
0.972,1.157,1.412
1.186,1.003,1.499
1.02,1.035,1.704
0.791,1.025,1.155
1.033,1.126,1.463
1.107,1.101,1.461
1.142,1.086,1.398
1.214,0.92,1.432
1.217,1.044,1.356
1.004,1.026,1.263
0.955,0.927,1.187
1.019,0.922,1.213
0.873,1.003,0.978
0.96,0.908,1.092
0.921,1.029,1.053
0.846,1.014,1.123
1.108,1.041,1.065
1.149,0.994,1.185
1.017,1.013,1.034
0.919,0.848,1.048
0.704,1.025,1.243
0.82,1.045,0.956
0.883,0.933,1.094
0.953,0.951,1.156
0.847,1.08,1.069
0.888,1.073,1.201
0.807,0.881,1.068
0.835,0.861,1.133
0.937,1.039,1.032
0.941,1.036,1.104
1.063,0.959,0.971
0.879,1.002,0.997
0.949,0.856,1.161
1.069,0.974,1
0.992,0.938,1.061
0.83,0.929,0.925
1.024,1.04,1
0.841,0.924,0.97
0.997,0.889,1.208
0.962,1.057,0.908
0.924,0.777,0.948
1.01,0.807,0.897
0.879,0.904,0.853
0.956,0.852,0.968
0.733,1.009,0.937
1.059,0.848,1.106
1.041,0.911,1.042
0.984,1.008,0.985
0.933,0.988,1.024
1.013,0.902,0.903
0.805,1.051,1.136
1.138,1.115,1.402
1.169,1.031,1.534
1.139,1.078,1.363
1.114,1.062,1.431
1.06,0.847,1.435
1.02,0.988,1.383
0.972,1.05,1.358
1.077,1.085,1.481
1.113,1.035,1.157
1.096,0.888,1.28
1.29,0.851,1.133
1.054,0.896,1.166
1.167,1.068,1.146
1.067,1.015,1.163
1.034,0.941,1.096
1.112,0.952,1.143
1.088,0.925,0.957
0.974,0.953,1.141
1.056,0.948,1.01
1.074,1.19,0.945
0.908,0.929,1.006
1.011,0.961,1.186
0.995,1.016,1.169
0.988,0.933,1.026
0.892,0.94,1.042
0.911,0.84,0.982
0.987,0.825,1.044
0.967,1.052,1.042
1.126,0.965,1.268
1.009,0.935,1.079
0.881,0.949,1.198
1.058,0.885,1.151
0.875,0.937,1.17
0.861,1.081,1.028
0.87,1.07,1.017
0.885,0.988,0.96
1.066,0.798,0.937
0.845,0.873,0.942
0.968,0.979,0.959
1.027,1.067,1.005
1.072,0.999,1.193
1.006,0.994,1.046
0.888,1.059,1.12
0.99,0.841,1.198
0.896,0.908,1.198
0.931,1.023,1.098
0.985,1.109,1.084
0.809,1.118,1.022
0.858,1.079,1.189
1.097,1.051,1.114
0.965,0.889,1.12
1.184,0.969,1.157
0.836,0.973,1.065
0.999,0.946,1.023
1.007,0.912,1.117
0.922,0.951,1.11
1.018,1.091,1.02
0.893,1.011,0.967
1.047,1.101,1.154
0.853,1,1.124
0.945,0.981,1.075
0.809,0.995,1.123
0.967,0.995,0.968
1.137,0.995,0.893
0.972,0.971,1.265
0.863,1.184,1.139
0.977,0.933,1.041
0.912,0.936,1.051
0.979,1.078,1.115
1.012,1.046,1.118
0.91,0.882,1.015
0.961,0.964,1.232
0.955,1.019,1.097
0.905,0.92,1.175
0.972,1.025,1.042
0.792,0.979,1.089
0.996,0.871,1.065
0.901,0.848,1.124
0.879,1.104,1.012
0.978,0.921,1.189
1.072,0.885,1.001
0.926,1.121,0.996
0.914,0.922,1.011
0.889,0.868,1.077
0.962,0.922,0.939
0.968,1.015,1.059
1.008,1.027,1
0.968,0.924,1.185
1.025,0.987,1.255
1.059,0.922,1.136
0.974,1.009,1.082
0.943,1.017,0.936
0.877,0.942,0.908
1.01,0.816,1.093
0.911,0.875,1.14
0.874,1.001,1.171
0.922,0.986,1.027
0.97,0.972,1.051
1.16,0.996,0.87
0.896,1.039,0.976
0.847,0.925,0.886
1.082,0.99,0.93
0.998,0.903,0.947
0.869,0.936,1.127
0.948,0.896,0.975
0.741,0.937,0.961
0.868,0.88,0.849
0.892,0.861,1.152
1.019,1.026,0.977
0.955,0.826,0.954
1.09,0.986,0.962
0.918,0.956,0.958
1.104,0.98,1.074
0.971,0.916,1.302
0.961,1.013,1.069
0.852,0.974,1.198
0.945,0.953,1.174
0.913,1.149,1.098
0.921,1.077,1.09
0.972,0.973,0.978
0.984,1.034,0.972
1.048,0.976,1.05
1.135,1.054,0.903
0.931,0.819,1.011
1.11,1.082,1.065
0.894,0.868,1.048
1.077,1.07,1.043
0.994,0.996,1.055
0.88,0.937,1.225
1.096,0.939,0.828
1.035,0.894,1.11
0.9,0.863,1.045
1.034,1.095,1.052
0.975,0.971,1.19
0.902,1.036,0.866
0.839,1.057,0.876
1.005,1.115,0.939
1.102,0.888,0.939
0.836,0.891,1.053
0.832,0.824,1.007
1.048,0.904,1.038
1.004,1.108,1.17
0.998,0.868,1.037
0.776,1.061,1.076
0.984,0.884,1.062
0.944,0.984,1.036
0.845,0.853,0.977
0.956,0.906,1.175
0.946,0.934,1.002
0.854,0.956,1.051
0.95,0.998,1.056
0.887,1.016,1.013
